,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),시가총액 (억),PSR,POR,ROE
67,광주은행,192530,12150.0,51316057.0,6.03,0.42,1.65,,8330.0,1328.0,6234.9009255,0.748487506062425,4.694955516189759,6.965174129353232
68,BGF,27410,14150.0,32263719.0,3.82,0.76,5.65,120.12,50526.0,2172.0,4565.3162385,0.09035578194394964,2.101895137430939,19.895287958115183
69,코스맥스,192820,130000.0,10049509.0,34.65,6.19,0.77,70.61,7570.0,526.0,13064.3617,1.7258073579920739,24.837189543726236,17.864357864357867
70,종근당,185750,141500.0,9409050.0,32.51,3.76,0.64,113.74,8320.0,612.0,13313.80575,1.6002170372596154,21.754584558823527,11.565672100892034
71,신송홀딩스,6880,5780.0,11828858.0,-5.52,0.47,1.38,96.84,2069.0,81.0,683.7079924,0.33045335543740934,8.440839412345678,-8.51449275362319
72,아세아시멘트,183190,120000.0,3295809.0,9.77,0.61,1.23,290.89,4557.0,570.0,3954.9708,0.8678891375905201,6.938545263157895,6.24360286591607
73,현대로템,64350,17050.0,85000000.0,66.34,1.04,,163.78,29848.0,1062.0,14492.5,0.4855434199946395,13.646421845574388,1.567681640036177
74,한진칼,180640,20700.0,59170458.0,-2.93,1.23,0.35,49.54,9910.0,990.0,12248.284806,1.2359520490413722,12.372004854545454,-41.979522184300336
75,NHN엔터테인먼트,181710,76600.0,19565025.0,119.87,1.01,,271.95,8564.0,264.0,14986.80915,1.7499777148528723,56.76821647727272,0.8425794610828397
76,JB금융지주,175330,6320.0,155439423.0,6.88,0.43,0.79,,20971.0,2527.0,9823.7715336,0.4684455454484765,3.8875233611396913,6.25
77,하이골드12호,172580,2355.0,13044500.0,,,,,,,307.197975,,,
78,DSR,155660,5500.0,16000000.0,8.18,0.67,0.91,130.49,2011.0,134.0,880.0,0.43759323719542514,6.567164179104478,8.190709046454767
79,한국패러랠,168490,2430.0,80020000.0,,,,,,,1944.486,,,
80,동아에스티,170900,124500.0,8443868.0,98.26,1.78,0.4,118.0,5605.0,148.0,10512.61566,1.875578173059768,71.03118689189189,1.811520455933238
81,지엠비코리아,13870,8180.0,19072280.0,8.32,0.7,1.83,85.33,4951.0,243.0,1560.112504,0.3151105845283781,6.420216065843621,8.413461538461538
82,CJ헬로,37560,8190.0,77446865.0,29.46,0.66,0.92,53.53,11006.0,429.0,6342.8982435,0.5763127606305651,14.78531059090909,2.240325865580448
83,동일고무벨트,163560,8000.0,12640000.0,5.81,0.58,0.94,153.9,2344.0,217.0,1011.2,0.43139931740614335,4.659907834101383,9.982788296041308
84,한국콜마,161890,88100.0,21104461.0,35.02,6.89,0.28,90.73,6675.0,734.0,18593.030141,2.7854726802996255,25.331103734332423,19.67447173043975
85,한국타이어,161390,52700.0,123875069.0,7.48,1.1,0.76,75.88,66218.0,11032.0,65282.161363,0.9858673074239632,5.917527317168238,14.705882352941178
86,애경유화,161000,16250.0,32040000.0,9.68,2.03,1.85,125.2,8677.0,750.0,5206.5,0.6000345741615766,6.942,20.971074380165287
87,하이골드8호,159650,922.0,14905929.0,,,,,,,137.43266538,,,
88,AJ렌터카,68400,10900.0,22146300.0,30.28,1.03,,19.07,6476.0,327.0,2413.9467,0.3727527331686226,7.3821,3.4015852047556145
89,바다로19호,155900,2855.0,15200004.0,,,,,,,433.9601142,,,
90,사조씨푸드,14710,6010.0,17218543.0,13.69,0.56,0.83,38.95,3234.0,155.0,1034.8344343,0.31998591042053187,6.676351189032259,4.090577063550037
91,하이골드3호,153360,1710.0,16149790.0,,,,,,,276.161409,,,
92,코오롱머티리얼,144620,3120.0,45000000.0,56.73,0.76,0.64,64.67,3389.0,25.0,1404.0,0.414281498967247,56.16,1.3396791820906049
93,한국ANKOR유전,152550,1910.0,70020000.0,,,,,,,1337.382,,,
94,휴비스,79980,11700.0,34500000.0,45.88,0.98,2.56,63.15,11435.0,151.0,4036.5,0.3529951902055094,26.7317880794702,2.136006974716652
95,케이탑리츠,145270,924.0,43345804.0,,,,,,,400.51522896,,,
96,GS리테일,7070,42250.0,77000000.0,11.86,1.63,2.6,48.73,74020.0,2181.0,32532.5,0.43950959200216155,14.916322787712058,13.743676222596966
