,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지),시가총액 (억),PSR,POR,ROE
117,현대위아,011210,61400.0,27195083.0,12.77,0.5,1.79,174.92,75894.0,2627.0,1.0685831438822306,1.6962700067141387,1.0685831438822306,16697.780962,0.22001450657495983,6.356216582413399,3.915426781519186
119,미원화학,134380,58100.0,2185180.0,9.69,1.46,1.72,808.44,1399.0,160.0,0.8005928841326836,1.2708619864704769,1.1442985373421972,1269.58958,0.9074979127948535,7.934934875000001,15.067079463364294
122,대성에너지,117580,6060.0,27500000.0,11.93,0.57,4.12,95.88,7386.0,193.0,1.0169775364402645,1.6143512111733036,1.0623794071570456,1666.5,0.22562956945572704,8.634715025906736,4.777870913663034
123,현대에이치씨엔,126560,4345.0,112876596.0,10.55,0.78,0.92,639.15,2921.0,492.0,0.928440979854762,1.4738081881118352,1.076785422297443,4904.4880962,1.6790441958918179,9.968471740243903,7.393364928909953
124,케이티스,058860,3260.0,34802000.0,11.36,0.7,2.45,163.32,4367.0,132.0,0.964784591594014,1.531500075619047,1.0792938541067398,1134.5452,0.25979967941378523,8.595039393939395,6.161971830985916
125,한전산업,130660,4165.0,32600000.0,10.28,2.07,5.23,214.56,3100.0,151.0,0.6870413227965579,1.0906101185528794,1.103188279861646,1357.79,0.4379967741935484,8.991986754966888,20.136186770428015
129,KTcs,058850,2345.0,42685000.0,13.1,0.65,3.41,147.76,9537.0,88.0,,,,1000.96325,0.10495577749816504,11.374582386363636,4.961832061068703
130,현대홈쇼핑,057050,121000.0,12000000.0,11.22,0.98,1.24,225.65,9694.0,1113.0,,,,14520.0,1.4978337115741696,13.045822102425875,8.73440285204991
131,도화엔지니어링,002150,4995.0,33720000.0,135.0,0.73,3.4,120.55,3247.0,149.0,0.932584018763584,1.4803848524340444,1.057967323291292,1684.314,0.5187292885740684,11.304120805369129,0.5407407407407407
133,아이마켓코리아,122900,10400.0,35943340.0,14.31,0.93,4.33,122.28,34000.0,605.0,0.8773816578983611,1.392756566725461,1.0790118123469088,3738.10736,0.10994433411764706,6.178689851239669,6.498951781970649
134,한미약품,128940,607000.0,11385691.0,296.24,10.45,0.3,119.52,8827.0,268.0,0.3847467102051243,0.6107473325209183,1.059799419024881,69111.14437,7.829516752010875,257.8774043656716,3.527545233594383
138,이연제약,102460,25100.0,16770000.0,35.7,2.18,1.07,502.13,1218.0,155.0,0.6521198089771512,1.0351756707796311,1.0653432431609633,4209.27,3.4558866995073894,27.15658064516129,6.106442577030812
139,한국화장품,123690,19100.0,16068000.0,20.99,5.51,,122.93,1608.0,157.0,,,,3068.988,1.9085746268656716,19.547694267515922,26.25059552167699
140,SJM,123700,5010.0,15604898.0,5.21,0.49,3.99,312.14,1768.0,143.0,1.1491875398781264,1.8242215097112848,1.1414746394310806,781.8053898,0.44219761866515833,5.467170558041958,9.404990403071018
141,한라홀딩스,060980,60000.0,10802691.0,8.6,0.7,2.08,88.43,10012.0,1159.0,1.0799602812014373,1.7143300864630342,1.2081396244671636,6481.6146,0.6473845984818218,5.592419844693701,8.139534883720929
145,조선선재,120030,84800.0,1257651.0,7.37,1.17,1.77,662.49,631.0,172.0,0.8992748916126658,1.4275099089545342,1.1938902905031707,1066.488048,1.6901553851030109,6.200511906976744,15.87516960651289
147,KC코트렐,119650,5270.0,13000000.0,70.27,0.99,0.76,126.22,1793.0,60.0,0.7817084907159072,1.2408848804949046,0.9815970079562304,685.1,0.38209704406023426,11.418333333333333,1.4088515725060482
149,락앤락,115390,27450.0,55000000.0,32.14,2.21,1.82,364.21,4251.0,602.0,0.6407067860254656,1.0170586261399879,1.0514777333804088,15097.5,3.5515172900494,25.07890365448505,6.87616677037959
2,한전기술,052690,24300.0,38220000.0,52.15,2.19,0.45,86.33,5060.0,59.0,0.6408642250323382,1.0173085449851187,1.0485538329615371,9287.46,1.8354664031620551,157.41457627118643,4.1994247363374875
3,GKL,114090,30750.0,61855670.0,16.63,3.67,3.25,298.8,5482.0,1512.0,0.6167640867168168,0.9790519600704808,1.198628033469977,19020.618525,3.4696494937978843,12.579774156746033,22.06855081178593
4,SK,034730,320500.0,70360297.0,29.69,1.38,1.15,89.83,836175.0,52982.0,0.8022965150079846,1.273566331914095,1.125394011284934,225504.751885,0.26968607275390916,4.2562521589407725,4.6480296396092955
5,황금에스티,032560,14050.0,14000000.0,9.49,0.99,0.53,103.48,2253.0,202.0,0.8316279333385217,1.320127056227709,1.0442812132567574,1967.0,0.873058144695961,9.737623762376238,10.432033719704952
8,유니온머티리얼,047400,2665.0,42000000.0,16.76,1.13,1.31,167.91,1072.0,80.0,0.7993778063431889,1.2689331707092095,1.0490307840879225,1119.3,1.0441231343283581,13.991249999999999,6.742243436754175
11,영원무역,111770,32100.0,44311468.0,12.93,1.13,0.78,150.35,20016.0,1794.0,0.8260049786483763,1.3112011720374026,1.0839738650938051,14223.981228,0.7106305569544364,7.928640595317726,8.73936581593194
13,한미글로벌,053690,10250.0,10867583.0,11.96,1.04,2.93,182.24,1691.0,94.0,0.8531624696841729,1.3543110018764428,1.0890626260770335,1113.9272575,0.6587387684801892,11.850289973404255,8.695652173913043
14,동아지질,028100,13350.0,11500000.0,13.5,1.01,1.5,143.89,3232.0,125.0,0.8229278900555274,1.3063165983681149,1.040268795106639,1535.25,0.47501547029702973,12.282,7.481481481481482
16,LG하우시스,108670,91300.0,8967670.0,12.15,0.97,1.97,97.41,29283.0,1570.0,0.8441436776292918,1.3399945618810425,1.052810680415098,8187.48271,0.2795984943482567,5.214957140127389,7.9835390946502045
17,한세실업,105630,27750.0,40000000.0,23.64,2.44,1.19,87.76,15477.0,816.0,0.6459693574248683,1.0254124375154576,1.0956836751496937,11100.0,0.7171932545066874,13.602941176470589,10.321489001692047
19,미원홀딩스,107590,55400.0,2331774.0,11.44,1.68,0.99,293.63,2878.0,405.0,0.7686370130257374,1.22013520305875,1.1512449005285113,1291.802796,0.44885434190410006,3.189636533333333,14.685314685314685
20,NAVER,035420,931000.0,32962679.0,40.96,7.46,0.12,232.25,40226.0,11020.0,0.4681720637866003,0.7431768265569723,1.1525552937426802,306882.54149,7.628959913737384,27.847780534482755,18.212890625
21,부국철강,026940,2795.0,20000000.0,17.69,0.51,2.68,653.42,1402.0,26.0,1.0372311119914277,1.6465017583093378,1.04410039239286,559.0,0.398716119828816,21.5,2.8829847371396267
23,한국철강,104700,36900.0,9210000.0,7.3,0.44,2.44,315.37,6634.0,530.0,1.1149606451025578,1.7698897009389427,1.0684489149575855,3398.49,0.5122836900813988,6.412245283018867,6.027397260273973
26,LG이노텍,011070,129500.0,23667107.0,619.62,1.72,0.19,96.97,57546.0,1048.0,0.6757473430655955,1.072682043247042,1.0200868779515808,30648.903565,0.5325983311611581,29.245136989503816,0.2775894903327846
