,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
520,골든브릿지증권,001290,1380.0,63737067.0,-20.91,0.6,,,638.0,46.0,,
521,보해양조,000890,1005.0,96570546.0,-13.4,0.97,,25.3,1155.0,60.0,,
522,혜인,003010,3465.0,12712747.0,46.82,0.39,1.15,36.0,2110.0,52.0,1.0975404490662126,1.7422368634253558
523,금강공업,014280,35150.0,4855964.0,5.7,0.61,1.42,60.87,6032.0,563.0,0.9789758963346424,1.5540273676931224
524,엔케이물산,009810,598.0,67730290.0,-20.62,0.68,,321.25,183.0,22.0,,
525,율촌화학,008730,20700.0,24800000.0,24.53,1.6,2.41,86.78,4435.0,291.0,0.7137736563330606,1.1330450529302885
526,신원,009270,2040.0,68738152.0,-22.17,0.63,,56.16,6401.0,150.0,,
527,동방,004140,1455.0,32523970.0,3.17,0.48,0.69,44.97,5751.0,203.0,1.021921890730609,1.6221998843751
528,한국쉘석유,002960,378000.0,1300000.0,18.04,5.05,5.03,334.42,2109.0,351.0,0.5956394352645846,0.9455186661327458
529,부광약품,003000,25150.0,44564484.0,77.62,5.55,1.52,563.04,1386.0,85.0,,
530,풍산홀딩스,005810,53100.0,7835167.0,6.83,0.54,2.64,173.95,2976.0,665.0,1.0676616134481631,1.6948071683336792
531,부국증권,001270,25200.0,10369886.0,12.13,0.54,4.76,,7537.0,353.0,1.040258344019609,1.6513071896154243
532,계양전기,012200,4540.0,32600000.0,9.1,0.88,1.43,152.09,3399.0,155.0,0.8822502979129704,1.4004850510063065
533,한솔테크닉스,004710,15450.0,22109878.0,-7.17,1.62,,58.43,8076.0,232.0,,
534,동성화학,005190,18000.0,5335564.0,7.07,0.94,2.78,116.08,1768.0,205.0,0.8772322818660445,1.3925194470546232
535,DB금융투자,016610,4835.0,42446389.0,2417.5,0.33,,,13254.0,98.0,,
536,한미사이언스,008930,102500.0,62279874.0,820.0,9.88,0.45,76.9,6653.0,287.0,0.403801510961858,0.6409949432872019
537,삼진제약,005500,37850.0,13900000.0,17.43,2.78,1.85,221.86,2393.0,421.0,0.6460946167991763,1.0256112743780033
538,POSCO,005490,377500.0,87186835.0,24.14,0.71,2.12,105.42,530835.0,28443.0,0.917198960849102,1.455962595316004
539,범양건영,002410,1905.0,23769595.0,-41.41,1.06,,108.38,1090.0,12.0,,
540,파미셀,005690,6640.0,58408110.0,-553.33,4.1,,,278.0,19.0,,
