,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
679,대림산업,000210,87200.0,34800000.0,12.69,0.73,0.34,116.66
680,LG상사,001120,30800.0,38760000.0,20.53,0.95,0.81,102.34
681,국제약품,002720,5710.0,17396596.0,132.79,1.46,0.16,85.26
682,태광산업,003240,1303000.0,1113400.0,101.47,0.43,0.13,186.29
683,부산주공,005030,1150.0,26824558.0,-2.94,0.53,0,29.66
684,현대시멘트,006390,14800.0,16758544.0,-1.1,1.73,0,110.88
685,CS홀딩스,000590,79900.0,1154482.0,9.99,0.43,0.63,664.96
686,신성통상,005390,1120.0,143708390.0,20.36,0.72,0,45.14
687,DB하이텍,000990,12750.0,44367832.0,6.42,1.61,0,106.69
688,대림통상,006570,5380.0,15225000.0,256.19,0.7,2.79,61.46
689,유유제약,000220,12200.0,6368587.0,15.46,1.11,1.48,136.62
690,강남제비스코,000860,35850.0,6500000.0,6.72,0.5,1.39,372.8
691,대신증권,003540,14650.0,50773400.0,17.17,0.59,3.75,0
692,NH투자증권,005940,15250.0,281408887.0,19.4,0.98,2.62,0
693,미래에셋대우,006800,9640.0,666316408.0,83.83,0.75,0.52,0
694,신일산업,002700,1380.0,71047521.0,25.09,1.97,1.09,123.38
695,삼성제약,001360,4550.0,41426881.0,-7.22,2.19,0,94.64
696,삼성화재,000810,274000.0,47374837.0,16.15,1.06,2.23,0
697,삼양식품,003230,89500.0,7533015.0,36.82,3.85,0.17,66.84
698,한화손해보험,000370,8150.0,116738915.0,6.69,0.84,1.22,0
699,NI스틸,008260,2965.0,28426850.0,8.24,0.97,1.69,28.34
