,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
434,디에이치피코리아,131030,8940.0,16564797.0,12.88,1.94,1.12,674.71,447.0,114.0,0.7400610342208563,1.174773664242861
435,제이스테판,096690,643.0,253143013.0,-3.8,1.72,0.73,170.2,340.0,110.0,,
436,티비씨,033830,644.0,100000000.0,23.85,0.6,1.55,988.97,388.0,18.0,0.983863350429984,1.5617857174655139
437,시그네틱스,033170,1265.0,85728319.0,-18.33,0.66,,54.17,2157.0,55.0,,
438,썬텍,122800,1000.0,29653085.0,-2.75,0.98,3.0,116.25,251.0,12.0,,
439,한국전자인증,041460,9850.0,21459249.0,43.97,5.76,0.47,299.79,266.0,51.0,0.48639492169026893,0.7721038103631229
440,디케이락,105740,5030.0,7855554.0,15.15,0.51,1.99,205.24,520.0,27.0,1.0559905429384737,1.6762804987290032
441,코프라,126600,4545.0,21115634.0,7.2,1.01,1.65,196.41,1301.0,141.0,0.8913915185434573,1.4149958342514148
442,선데이토즈,123420,23850.0,9569842.0,15.19,1.87,,984.01,773.0,174.0,,
443,삼본정밀전자,111870,10600.0,9500000.0,14.38,1.12,3.77,843.64,572.0,49.0,0.8339931756055791,1.3238816442905956
444,아나패스,123860,21150.0,10127700.0,-8.43,2.58,0.95,272.44,993.0,72.0,0.5647428508867074,0.8964733955890793
445,KNN,058400,1000.0,132429720.0,19.23,0.74,2.0,281.75,618.0,59.0,0.925120991345633,1.4685380348599213
446,누리플랜,069140,4700.0,4751401.0,9.0,1.06,1.49,123.14,344.0,7.0,0.7534319205181585,1.1959986232169457
447,아이텍반도체,119830,5490.0,5271046.0,19.96,1.17,,59.95,258.0,21.0,,
448,인화정공,101930,4580.0,9331705.0,-37.85,0.3,1.09,76.17,958.0,8.0,1.206795741439757,1.9156688294722135
449,코렌,078650,1580.0,30071471.0,-1.29,0.97,,19.87,930.0,89.0,,
