,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
542,대성파인텍,104040,2055.0,31301281.0,13.89,1.37,1.17,156.43,477.0,49.0,0.77121472323687,1.2242270629595713
543,유비쿼스홀딩스,078070,6470.0,16076045.0,5.73,0.56,3.86,613.74,1207.0,243.0,1.1030348951668933,1.750958752945559
544,메디톡스,086900,553800.0,5656535.0,52.89,19.86,0.36,80.61,1333.0,752.0,0.36696495153466385,0.5825205501015848
545,엠게임,058630,5100.0,19543877.0,26.02,3.59,,133.14,305.0,42.0,,
546,아이컴포넌트,059100,7530.0,7070860.0,9.18,1.28,1.33,115.29,536.0,55.0,0.777831512942653,1.2347305618991833
547,에이치엘비생명과학,067630,9090.0,26676909.0,-171.51,7.78,,130.12,422.0,14.0,,
548,이크레더블,092130,14900.0,12043600.0,18.24,4.79,3.56,542.55,315.0,121.0,0.5893710092479153,0.9355681600797001
549,SIMPAC Metal,090730,9650.0,13000000.0,18.52,0.66,1.04,144.52,1375.0,59.0,0.930641370584345,1.4773010906707162
550,세운메디칼,100700,4060.0,43800000.0,21.26,2.41,0.86,276.45,566.0,117.0,0.6429167428131074,1.020566713869495
551,마이크로컨텍솔,098120,4415.0,8312766.0,-220.75,0.9,0.45,762.04,272.0,6.0,0.8981006064231044,1.4256458474093137
552,KJ프리텍,083470,1620.0,21273036.0,-10.38,0.73,,96.35,1244.0,20.0,,
553,삼강엠앤티,100090,5180.0,16853701.0,24.09,1.2,,22.63,1731.0,105.0,,
554,아이엠,101390,3320.0,22572009.0,-4.23,1.44,,53.36,1924.0,109.0,,
555,웰크론한텍,076080,3300.0,19362573.0,-1650.0,0.97,,175.87,1323.0,13.0,,
556,코리아에스이,101670,1700.0,18900000.0,35.42,0.98,2.35,722.18,147.0,9.0,0.8370031140156944,1.3286596236891721
557,슈프리마에이치큐,094840,6150.0,10471840.0,14.93,0.52,,,321.0,36.0,,
558,서울옥션,063170,8600.0,16917500.0,23.69,1.91,1.16,96.66,509.0,96.0,0.6911164091514722,1.0970789149195315
559,이스트소프트,047560,7140.0,9899400.0,-25.68,2.31,,377.51,505.0,26.0,,
560,청담러닝,096240,15450.0,7038789.0,-5.05,1.59,5.18,90.88,1411.0,53.0,0.6751401021496837,1.0717181083783254
561,월덱스,101160,5740.0,16510993.0,151.05,1.96,,39.62,695.0,37.0,,
562,쎄트렉아이,099320,44250.0,3659990.0,49.66,3.19,0.54,187.86,342.0,32.0,,
563,브리지텍,064480,6190.0,11952500.0,9.32,1.51,3.23,392.25,552.0,82.0,0.7878921244986047,1.2507007872665445
564,고영,098460,84100.0,13685951.0,38.7,7.15,0.48,492.5,1718.0,332.0,0.4815879310209232,0.7644731883178021
565,조이시티,067000,15300.0,11783395.0,-33.77,3.69,,358.44,725.0,31.0,,
566,우진비앤지,018620,4780.0,11991296.0,298.75,2.43,,108.03,278.0,1.0,,
567,테스,095610,37700.0,19768226.0,21.52,4.94,0.58,292.74,1789.0,364.0,0.541491912109501,0.8595648309148936
568,예스24,053280,5520.0,17200000.0,145.26,1.29,2.17,77.54,4210.0,12.0,,
569,엘디티,096870,3265.0,6678400.0,-9.09,1.49,,487.84,76.0,14.0,,
570,메타바이오메드,059210,4100.0,21874423.0,141.38,1.71,0.24,43.3,658.0,40.0,0.6585376842720613,1.045363412774172
571,효성오앤비,097870,10300.0,5800000.0,11.31,0.96,3.4,577.9,344.0,61.0,0.9010656426004768,1.4303525489563984
572,네패스신소재,087730,11750.0,2860000.0,-49.79,2.35,0.85,284.47,183.0,20.0,0.6567905479001275,1.0425900066594325
573,텔레필드,091440,4160.0,6957040.0,-10.98,1.09,,103.51,431.0,17.0,,
574,이트론,096040,371.0,181355876.0,-4.26,1.33,,599.74,257.0,40.0,,
575,에스맥,097780,1270.0,149575728.0,-32.56,1.51,,120.05,1395.0,34.0,,
576,에스코넥,096630,2320.0,65265724.0,14.32,1.79,,109.35,3346.0,176.0,,
577,일신바이오,068330,2550.0,44216140.0,41.8,3.42,0.2,442.75,134.0,30.0,0.5696450335203991,0.9042551254587418
578,서원인텍,093920,8120.0,18600000.0,7.9,0.92,8.13,199.56,3576.0,152.0,0.9831550698978976,1.5606613922037913
579,이씨에스,067010,4650.0,7500000.0,12.95,0.74,4.3,506.84,557.0,26.0,0.9826198167320566,1.559811730765266
580,대창솔루션,096350,1240.0,18200000.0,-1.98,0.26,2.42,24.16,493.0,60.0,1.2150256826003925,1.9287330467282424
581,아이에스이커머스,069920,3130.0,25514093.0,44.71,2.28,,154.08,786.0,4.0,,
582,알에프세미,096610,6170.0,8120970.0,47.83,0.93,0.57,70.55,642.0,26.0,0.8379289600709519,1.3301293126912483
583,디엔에프,092070,13550.0,10761828.0,13.97,2.03,,126.92,582.0,121.0,,
584,일진파워,094820,5030.0,15078709.0,11.38,1.13,3.98,174.58,1327.0,82.0,,
585,비엠티,086670,7080.0,8146529.0,-57.1,0.99,1.41,86.81,411.0,12.0,0.8240127203087014,1.3080386590532105
586,이엘케이,094190,902.0,66014510.0,-0.41,2.13,,34.53,1746.0,509.0,,
587,이엠코리아,095190,3025.0,32113947.0,-10.29,1.22,,34.97,1026.0,36.0,,
588,현우산업,092300,3715.0,14317308.0,14.46,0.74,2.15,62.65,1191.0,51.0,0.8945750331655986,1.4200493487115582
589,다믈멀티미디어,093640,5720.0,6532676.0,440.0,4.61,,367.39,257.0,2.0,,
590,에스에너지,095910,7350.0,13208520.0,30.5,0.85,1.5,81.83,3046.0,61.0,0.8596679769539174,1.3646378509600223
591,성우전자,081580,4200.0,15508143.0,5.06,0.65,2.38,175.26,1727.0,83.0,1.0282699076013604,1.6322767330336425
592,엘엠에스,073110,9210.0,8895755.0,-7.03,0.67,1.63,116.16,1135.0,91.0,0.9473054962001842,1.5037537412034296
593,제이엠티,094970,4805.0,16748240.0,111.74,2.16,,102.04,965.0,8.0,,
594,오디텍,080520,9110.0,11746609.0,10.61,0.9,1.43,,557.0,96.0,0.9002794987681084,1.4291046234098985
595,ISC,095340,18900.0,13602498.0,26.66,1.74,0.84,228.36,936.0,108.0,0.7096389358234523,1.1264815932437418
596,네오티스,085910,4540.0,11013678.0,-30.88,0.86,7.71,132.25,402.0,25.0,0.8916164050227157,1.415352819285163
597,미래나노텍,095500,5150.0,23289533.0,117.05,0.8,,98.44,3145.0,128.0,,
598,상보,027580,1925.0,27147587.0,-2.46,0.83,,76.15,1517.0,101.0,,
599,바이오톡스텍,086040,11550.0,14506123.0,160.42,6.77,,77.81,223.0,22.0,,
