,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
220,롯데관광개발,032350,13200.0,45395023.0,388.24,3.64,,102.19,504.0,33.0,,
221,평화산업,090080,1715.0,37403844.0,37.28,1.09,2.91,62.46,3270.0,5.0,0.7955509240566211,1.2628583737417534
222,우진플라임,049800,8210.0,10000000.0,5.55,1.03,,80.68,2283.0,161.0,,
223,신세계 I&C,035510,82800.0,1720000.0,55.95,0.85,1.21,259.5,2963.0,87.0,0.876754062702174,1.3917603214508238
224,진도,088790,5620.0,12447744.0,8.43,0.73,3.56,66.92,1230.0,109.0,0.9517130690237653,1.5107503269402087
225,맥쿼리인프라,088980,8120.0,349044336.0,,,,,,,,
226,롯데쇼핑,023530,233000.0,28122047.0,43.62,0.42,0.86,101.64,295264.0,9404.0,1.0719608944648977,1.7016318515423507
227,현대글로비스,086280,139500.0,37500000.0,10.35,1.5,2.15,123.97,153406.0,7288.0,0.7577976817523467,1.202928837192738
228,TBH글로벌,084870,7680.0,20856819.0,-55.25,0.77,,123.6,7222.0,124.0,,
229,하나금융지주,086790,55500.0,296003062.0,12.35,0.73,1.89,,345998.0,16141.0,,
230,제일연마,001560,5700.0,10000000.0,12.23,0.61,2.81,147.74,864.0,42.0,1.0074616123378712,1.5992456232427152
231,현대리바트,079430,31450.0,20535282.0,16.37,1.91,0.25,146.03,7356.0,422.0,0.6940037808168864,1.1016623317386331
232,대한제강,084010,9700.0,24646734.0,5.98,0.5,3.4,158.96,8979.0,563.0,1.0740737657625137,1.7049858256628596
233,새론오토모티브,075180,6970.0,19200000.0,5.93,0.62,2.73,437.59,1975.0,280.0,1.0525954016344385,1.6708910478513972
234,KPX그린케미칼,083420,4275.0,20000000.0,29.69,0.74,3.74,72.06,2436.0,41.0,0.9392732084329857,1.4910032791520673
235,동북아12호,083370,5000.0,1585660.0,,,,,,,,
236,동북아13호,083380,5010.0,1585660.0,,,,,,,,
237,대상홀딩스,084690,9700.0,36212538.0,12.53,0.73,1.75,120.24,33181.0,1361.0,0.9206192987299415,1.4613920432661351
238,코아스,071950,1270.0,30907210.0,-5.08,1.59,,50.09,971.0,35.0,,
239,이월드,084680,1785.0,90509897.0,77.61,1.26,,30.65,297.0,43.0,,
240,동양고속,084670,31950.0,2592000.0,13.13,0.7,0.58,54.72,1555.0,178.0,0.9441845663456749,1.4987995738692628
241,한미반도체,042700,11500.0,63582100.0,23.23,2.97,1.74,314.51,1663.0,386.0,,
242,동일산업,004890,74700.0,2425215.0,13.49,0.51,1.61,562.13,3044.0,123.0,,
243,삼호개발,010960,4355.0,25000000.0,6.78,0.74,2.98,147.76,2745.0,222.0,0.9404220474355101,1.4928269473932165
244,금호타이어,073240,5330.0,157993158.0,-23.38,0.76,,43.2,29472.0,1201.0,,
245,CJ CGV,079160,74000.0,21161313.0,126.93,4.19,0.47,60.41,14322.0,703.0,0.5054113034421688,0.8022904347607176
246,일진다이아,081000,19700.0,11277975.0,47.7,2.62,0.51,99.75,1084.0,64.0,0.6058745116077068,0.9617658370867928
247,유니드,014830,44200.0,8889843.0,7.88,0.63,2.49,122.1,7409.0,680.0,1.007655540357794,1.5995534647855467
248,상신브레이크,041650,8110.0,21471450.0,8.95,1.04,1.97,83.71,3796.0,309.0,0.8565663447610375,1.3597143167542265
249,사조해표,079660,11300.0,7160000.0,68.48,0.6,,32.23,6739.0,47.0,,
250,인팩,023810,4435.0,10000000.0,4.75,0.41,3.38,119.72,2340.0,108.0,1.1759312301861882,1.866674471839814
251,GS,078930,64600.0,92915378.0,7.59,0.88,2.48,56.11,134624.0,17542.0,0.8655887832384831,1.374036545084642
252,유니퀘스트,077500,10150.0,27080171.0,63.44,1.5,0.79,110.81,2636.0,78.0,0.7221971100865686,1.1464164522798126
253,동아에스텍,058730,6430.0,15400000.0,7.64,0.94,3.11,143.4,1571.0,158.0,,
254,LG디스플레이,034220,30450.0,357815700.0,12.02,0.84,1.64,116.13,265041.0,13114.0,0.8906325016613228,1.413790970054253
255,텔코웨어,078000,12400.0,9702706.0,26.72,0.66,4.03,922.3,409.0,46.0,1.0007844637167596,1.5886463104974142
256,STX엔진,077970,7960.0,23008904.0,-7.87,2.05,,41.6,5298.0,41.0,,
