,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
1000,정원엔시스,045510,2860.0,32209292.0,36.67,2.44,,138.91,1839.0,26.0,,,
1001,한양이엔지,045100,13750.0,18000000.0,4.73,1.15,1.82,158.8,5369.0,151.0,0.856750734185722,1.3600070167209424,1.1309162139782956
1002,누리텔레콤,040160,11150.0,12055535.0,20.72,2.38,,153.32,513.0,79.0,,,
1003,에쎈테크,043340,1465.0,72000000.0,58.6,3.77,,51.76,729.0,28.0,,,
1004,국순당,043650,6110.0,17858304.0,-41.28,0.57,0.82,652.43,697.0,65.0,0.9604640579866986,1.5246416560257312,1.003342945106924
1005,엘컴텍,037950,2255.0,84447519.0,28.19,2.54,2.22,155.31,656.0,69.0,0.6365379135799226,1.010440953634412,1.0942389770201133
1006,이오테크닉스,039030,94000.0,12280626.0,60.33,3.63,0.11,184.28,3077.0,213.0,0.5580589975920879,0.8858634398379992,1.080585133329518
1007,서울제약,018680,12500.0,8384543.0,111.61,2.2,0.12,264.61,459.0,30.0,0.6092323501138566,0.9670960734637942,0.9983140463726049
1008,텍셀네트컴,038540,24600.0,47748397.0,16.94,5.83,,79.1,2839.0,702.0,,,
1009,나노엔텍,039860,6890.0,24468214.0,-11.35,6.58,,249.91,222.0,97.0,,,
1010,파나진,046210,11850.0,31961360.0,-215.45,16.67,,145.5,70.0,7.0,,,
1011,오공,045060,5450.0,11521974.0,12.03,1.19,1.1,96.04,1431.0,81.0,0.780796755756966,1.2394375914619653,1.0424702081602846
1012,솔고바이오,043100,737.0,119725785.0,-8.67,2.2,,51.85,237.0,78.0,,,
1013,현대정보기술,026180,2185.0,59537195.0,198.64,2.58,,65.4,1678.0,21.0,,,
1014,비츠로테크,042370,5640.0,22353873.0,3.39,1.0,,212.27,2328.0,210.0,,,
1015,코아시아홀딩스,045970,5430.0,18841240.0,-11.1,0.9,,80.12,3961.0,136.0,,,
1016,정상제이엘에스,040420,7530.0,15677552.0,16.23,1.82,5.71,160.96,834.0,87.0,0.7394425260282305,1.1737918436872357,1.137465460881344
1017,진양제약,007370,5130.0,12000000.0,-6.77,1.17,1.95,174.88,361.0,100.0,0.7514893916446422,1.1929150508396473,0.9976881334824499
1018,넥슨지티,041140,13950.0,35373322.0,31.14,3.45,,,612.0,178.0,,,
1019,위노바,039790,780.0,78610739.0,-2.27,2.35,,201.56,204.0,28.0,,,
1020,지니뮤직,043610,5990.0,49192753.0,30.41,3.68,,220.19,1113.0,49.0,,,
1021,진성티이씨,036890,13950.0,22482268.0,30.06,2.8,1.15,115.08,1778.0,115.0,0.6084034551354324,0.9657802847030725,1.0804077249775503
1022,현대통신,039010,11700.0,8625000.0,9.59,2.21,1.11,194.4,878.0,107.0,0.7037424212450316,1.117121459799011,1.1549268746857877
1023,삼아제약,009300,18950.0,6370000.0,12.23,0.78,1.32,599.99,659.0,96.0,0.9216831683745447,1.4630808310591352,1.0689478612177168
1024,파루,043200,4150.0,29667567.0,24.41,1.46,,225.53,1057.0,50.0,,,
1025,에스씨디,042110,1725.0,48329564.0,11.9,0.88,0.0,300.49,1345.0,98.0,,,
1026,한국정보공학,039740,4310.0,8018397.0,-3.09,0.69,,124.56,1285.0,45.0,,,
1027,디오,039840,39750.0,15171403.0,29.4,5.54,,227.35,880.0,266.0,,,
1028,네오위즈홀딩스,042420,13950.0,8856866.0,-8.53,0.42,2.37,772.14,2017.0,224.0,1.219393802712827,1.9356670051898448,1.1505453605387181
1029,다산네트웍스,039560,7100.0,28021481.0,-4.16,1.23,,102.93,2228.0,133.0,,,
1030,바이오스마트,038460,5200.0,17695692.0,144.44,1.53,,57.3,630.0,10.0,,,
1031,우리기술,032820,658.0,85399992.0,36.56,1.63,,65.83,315.0,38.0,,,
1032,폭스브레인,039230,2690.0,45671560.0,-4.38,6.81,,138.25,353.0,125.0,,,
1033,안국약품,001540,16600.0,13042420.0,125.76,1.45,1.33,199.14,1740.0,42.0,0.7224046128354211,1.1467458423616272,1.0301801475980172
1034,골드퍼시픽,038530,4155.0,6655713.0,-0.98,9.3,,158.8,170.0,78.0,,,
1035,세중,039310,3225.0,18121667.0,6.92,0.7,3.1,167.25,2551.0,126.0,0.9711401259444019,1.5415888575326733,1.0864037201055374
1036,우리기술투자,041190,6800.0,84000000.0,523.08,9.02,0.22,,63.0,9.0,0.39412594935110634,0.6256359466079114,1.0336667366781378
1037,HRS,036640,5050.0,16354800.0,20.78,1.1,1.58,615.91,565.0,44.0,0.8186246714056432,1.2994856645564397,1.0646962458117069
1038,에스에이엠티,031330,1980.0,99995067.0,4.62,1.15,5.05,96.07,10635.0,285.0,0.8771979890673062,1.3924650106298309,1.157906715595908
1039,NICE평가정보,030190,10050.0,60714820.0,21.57,3.93,1.29,188.69,3455.0,392.0,0.5722491395257606,0.9083888860710895,1.137782711253117
1040,위즈코프,038620,1495.0,35562929.0,33.22,1.24,,284.16,296.0,9.0,,,
1041,이건홀딩스,039020,3390.0,14327078.0,12.56,0.47,0.88,46.09,1626.0,43.0,1.0166955556456858,1.6139035945633546,0.995940843103363
1042,파인디지털,038950,5680.0,10200765.0,-2840.0,0.58,0.88,902.06,780.0,37.0,0.9901802428135006,1.571813159080278,1.0403997830454166
1043,나이스정보통신,036800,24200.0,10000000.0,7.98,1.53,1.45,123.47,3171.0,472.0,,,
1044,SG&G,040610,3210.0,34087196.0,7.26,0.43,,65.88,12000.0,464.0,,,
1045,아이에이,038880,4640.0,40382070.0,232.0,4.68,,111.93,759.0,22.0,,,
1046,에스넷,038680,5970.0,16075215.0,-40.89,1.36,0.42,175.26,2094.0,19.0,0.7296277102979263,1.1582117948720767,1.018491997267426
1047,에스엠,041510,38400.0,21755663.0,227.22,2.54,,209.57,3499.0,207.0,,,
1048,쌍용정보통신,010280,1260.0,40464034.0,-28.0,1.79,,125.91,2196.0,17.0,,,
1049,쎄니트,037760,1765.0,33832921.0,8.57,0.95,1.7,85.88,1157.0,104.0,0.8692075490404367,1.3797809777254895,1.0765677268716543
