,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
369,현대엘리베이,017800,62700.0,24632513.0,12.0,1.98,0.8,136.92,17588.0,1816.0,0.6647629916648454,1.0552454722783031,1.0517161968449404
370,환인제약,016580,25950.0,18600070.0,29.42,1.8,0.96,721.14,1414.0,216.0,0.7132839160775074,1.132267638733432,1.0931923857296109
371,계룡건설,013580,19150.0,8930907.0,10.27,0.59,,74.36,19585.0,776.0,,,
372,두산건설,011160,3000.0,61584271.0,-0.71,0.24,,60.51,12746.0,128.0,,,
373,서원,021050,1260.0,47474590.0,9.69,0.67,0.79,35.22,2478.0,126.0,0.8531238447491974,1.354249688614031,0.9405466626343444
374,에스원,012750,98600.0,37999178.0,26.66,3.03,1.27,138.56,18302.0,2057.0,0.6103339160365218,0.9688447003682454,1.1127349069836956
375,태경산업,015890,5320.0,29228750.0,63.33,0.88,3.76,70.83,4447.0,122.0,0.855981354992701,1.3587857033805784,1.0334794868637138
376,한화갤러리아타임월드,027390,44300.0,6000131.0,-14.25,1.06,2.26,21.78,2848.0,123.0,0.8072490821308047,1.2814280421748028,1.0370177265645684
377,신대양제지,016590,36800.0,4029782.0,9.14,0.57,,176.16,2525.0,82.0,,,
378,유양디앤유,011690,7850.0,52332155.0,-60.85,6.15,,126.55,979.0,48.0,,,
379,남해화학,025860,12650.0,49678843.0,43.32,1.53,0.36,161.0,10965.0,127.0,,,
380,동원금속,018500,1910.0,35954933.0,-31.83,1.14,5.24,28.29,4929.0,171.0,0.7997002264963071,1.2694449807994452,1.0525405458840977
381,성안,011300,673.0,56857860.0,-61.18,0.54,1.49,60.56,1957.0,67.0,0.9762680951337777,1.549729001218349,1.0016369761119823
382,경인양행,012610,5940.0,40396365.0,46.77,1.22,0.84,76.98,2749.0,106.0,0.7632279504422321,1.211548851423532,1.0275056261515643
383,풀무원,017810,171500.0,3809095.0,35.13,2.45,0.6,62.3,20307.0,379.0,0.6162320108818237,0.9782073423302858,1.0466696096902448
384,현대상선,011200,4620.0,311805827.0,-1.06,0.96,,144.22,45848.0,8334.0,,,
385,서울가스,017390,92200.0,5000000.0,19.87,0.4,1.9,197.04,12720.0,67.0,1.1291169233783627,1.7923613919659098,1.0481793006792448
386,이구산업,025820,2245.0,33442000.0,16.63,0.74,2.23,28.93,1975.0,100.0,0.8923879699862829,1.4165776023199914,1.016968760097784
387,에이프로젠KIC,007460,14400.0,49774786.0,97.3,6.9,,47.09,548.0,51.0,,,
388,에넥스,011090,2120.0,59991641.0,68.39,2.01,0.94,103.6,3941.0,24.0,0.6625606671206619,1.0517494999800907,1.0534995023754006
389,제이준코스메틱,025620,16800.0,26483103.0,19.22,4.14,,275.24,834.0,133.0,,,
390,한국카본,017960,7160.0,43960757.0,18.89,0.93,1.82,333.64,2576.0,269.0,0.8747804424110603,1.3886273945245242,1.0758128142689454
391,성지건설,005980,8040.0,12912720.0,-6.79,1.84,,104.93,1085.0,71.0,,,
392,KPX케미칼,025000,68300.0,4840000.0,10.07,0.78,2.93,310.52,6474.0,443.0,0.9499011690523096,1.5078741150194588,1.1016744775945055
393,지코,010580,812.0,45004179.0,-4.98,2.02,,43.78,772.0,44.0,,,
394,태평양물산,007980,3660.0,49283000.0,-2.73,1.35,0.55,38.13,8647.0,486.0,0.6957081670140787,1.1043678761810163,0.9687573778397286
395,KC그린홀딩스,009440,5960.0,22434980.0,28.65,0.83,1.68,106.4,3914.0,259.0,0.8757520905871926,1.3901697898614596,1.036932640566586
396,문배철강,008420,3010.0,20503505.0,8.31,0.6,1.66,244.33,1299.0,54.0,1.0023468740492811,1.5911264823028652,1.065152495001872
397,웅진,016880,2890.0,72677207.0,-321.11,0.59,,65.77,2430.0,118.0,,,
398,오뚜기,007310,780000.0,3440000.0,19.51,2.55,0.87,129.34,20107.0,1425.0,0.6324680244087475,1.0039804072826948,1.0886676030043239
399,일정실업,008500,22500.0,1200000.0,8.52,0.46,5.56,319.66,789.0,44.0,1.1548999180233879,1.8332893447883134,1.12324275567062
400,한라,014790,4090.0,36494942.0,17.71,0.56,,63.0,18318.0,955.0,,,
401,LS산전,010120,69800.0,30000000.0,25.95,1.92,1.15,185.66,22136.0,1244.0,0.6707133813244576,1.064691127083592,1.0503016452184286
402,대양금속,009190,3765.0,12317933.0,21.39,5.99,,39.55,1462.0,98.0,,,
403,이화산업,000760,18800.0,2800000.0,195.83,0.48,,51.47,552.0,12.0,,,
404,동원시스템즈,014820,52200.0,25618511.0,21.97,4.69,0.48,72.88,13008.0,1269.0,0.4939606013956857,0.7841135782863559,1.041741399122958
405,삼성중공업,010140,9450.0,390000000.0,-21.82,0.55,,96.45,104142.0,1472.0,,,
406,모토닉,009680,11100.0,33000000.0,16.84,0.64,2.25,,1953.0,24.0,0.9763044263608228,1.5497866734463797,1.0600391736293608
407,화신,010690,4640.0,34920410.0,3.39,0.41,2.15,73.94,12497.0,462.0,1.1187151903105863,1.7758496699518294,1.0471064125620726
408,삼화페인트,000390,8370.0,26196427.0,14.26,0.66,3.58,108.44,4822.0,189.0,0.9898154915872461,1.571234152600015,1.0857892987914082
409,경동나비엔,009450,68100.0,12739510.0,23.5,3.64,0.22,48.13,5833.0,458.0,0.5446252085517507,0.864538628983449,1.0555404132080215
410,DB,012030,738.0,189745366.0,-6.47,0.84,,118.1,2048.0,109.0,,,
411,삼광글라스,005090,49800.0,4854418.0,12.79,0.81,1.51,19.12,2975.0,14.0,0.889048325537714,1.4112762472091334,1.0441519563248873
412,대림B&Co,005750,6830.0,16672240.0,13.69,0.74,1.9,96.47,2091.0,143.0,0.9141937076414468,1.4511920532127411,1.041818662530389
413,대한해운,005880,30800.0,24426504.0,25.25,1.24,,75.04,5403.0,441.0,,,
414,메리츠종금증권,008560,5380.0,605641072.0,10.53,1.3,3.72,,49466.0,3269.0,0.7685167694809906,1.2199443283293265,1.0567634835377044
415,휴니드,005870,12800.0,14116015.0,9.7,1.76,,107.24,1789.0,188.0,,,
416,수산중공업,017550,1460.0,53985163.0,28.63,0.82,0.69,186.5,888.0,39.0,0.8763401149675077,1.3911032203813547,1.0334448568416854
417,롯데케미칼,011170,419000.0,34275419.0,7.82,1.51,0.95,126.84,132235.0,25443.0,0.7530473962952267,1.1953882290609563,1.088490456321137
418,세아베스틸,001430,31500.0,35862119.0,12.74,0.65,2.54,46.59,25311.0,1435.0,,,
419,호텔신라,008770,94500.0,39248121.0,135.78,5.41,0.37,82.15,37153.0,790.0,0.4630397753663803,0.7350298265197108,1.0241432783971331
420,백광소재,014580,2755.0,27583100.0,18.49,0.68,3.63,79.69,1715.0,85.0,,,
421,화승알앤에이,013520,2910.0,64561210.0,3.23,0.53,1.72,50.93,16161.0,1053.0,1.0384367050187613,1.6484155179491726,1.0588033797110057
422,신흥,004080,11400.0,9600000.0,95.0,1.28,1.75,53.38,1244.0,42.0,0.7650446033260212,1.21443260812232,1.046566295857849
